Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Cordoba;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Cordoba;Disco;452 - La Falda.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;240;0;0;24;0;52;21;10;0,46;0;;25;22/2/2023;4;AL;V;SI;119,76;0;9779
Cordoba;Vea;453 - Ruta 9.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;0;0;10;1;0;1;14;10;0,69;194,64;;25;26/2/2023;0;AL;V;SI;119,76;0;9779
Cordoba;Vea;455 - Zanni.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;250;0;0;25;0;9999;12;10;0;0;;25;30/1/2023;26;AL;V;SI;119,76;0;9779
Cordoba;Disco;456 - Jesús María.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;160;0;0;16;0;51;32;10;0,31;0;;25;25/2/2023;1;AL;V;SI;119,76;0;9779
Cordoba;Disco;460 - Ricchieri.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;0;44;0;8;0;5;13;18;1,36;0;;25;24/2/2023;2;AL;V;SI;119,76;0;9779
Cordoba;Vea;464 - San Francisco.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;300;0;0;30;0;120;40;10;0,25;0;;25;19/2/2023;7;AL;V;SI;119,76;0;9779
Cordoba;Vea;466 - Armada Argentina.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;173;0;0;26;0;138;79;15;0,19;0;;25;17/2/2023;9;AL;V;SI;119,76;0;9779
Cordoba;Disco;468 - Recta Martinolli.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;0;40;0;6;0;7;17;15;0,86;0;;25;25/2/2023;1;AL;V;SI;119,76;0;9779
Cordoba;Vea;472 - Ipona.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;140;0;0;14;0;44;31;10;0,31;0;;25;24/2/2023;2;AL;V;SI;119,76;0;9779
Cordoba;Vea;473 - 24 de Septiembre.;Comestible;Especias y Condimentos;'7790150406953;AJI TRITURADO ALICANTE ST21 S50G 0.05KGM;11550105007;290;0;0;29;0;9999;12;10;0;0;;25;22/1/2023;35;AL;V;SI;119,76;0;9779
