Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Buenos Aires;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Buenos Aires;Jumbo;5260 - Jumbo Acoyte;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;416;0;0;25;0;219;52;6;0,11;0;;25;29/1/2023;28;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5263 - Jumbo Juan B. Justo;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;866;0;0;52;0;82;9;6;0,63;109,98;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5275 - Jumbo La Palmera;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;2733;0;0;82;0;286;10;3;0,29;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5276 - Jumbo Arenales;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;833;0;0;25;25;500;60;3;0,05;0;;25;15/2/2023;5;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5277 - Jumbo-Comodoro;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;466;0;0;28;0;325;69;6;0,09;0;;25;14/11/2022;104;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;54 - Elcano.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;0;0;25;0;7;6;0,82;0;;25;19/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;55 - J. B. Justo..;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;0;0;50;0;5;6;1,17;0;;25;17/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;56 - Luro y Guido;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;0;0;50;0;3;6;1,73;0;;25;6/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5626 - Jumbo Pacheco Novo;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1100;0;0;33;0;60;5;3;0,54;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;57 - San Luis.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;483;0;0;29;25;42;8;6;0,69;0;;25;25/2/2023;1;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;58 - Constitución.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;150;0;0;9;25;16;11;6;0,54;0;;25;19/2/2023;7;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;59 - Alberti.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;550;0;0;33;0;60;11;6;0,54;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;5961 - Jumbo Av. Santa Fé;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;183;0;0;11;25;16;9;6;0,66;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;61 - Tortuguitas;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;207;0;0;27;25;52;26;13;0,51;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;62 - La Plata III.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;566;0;0;34;25;24;4;6;1,4;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;628 - Jumbo San Fernando;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;450;0;0;27;0;117;26;6;0,23;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;631 - SAN PEDRO;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;16;1;25;1;9;6;0,63;0;;25;23/2/2023;3;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;633 - Pinocho I.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;183;0;0;11;25;11;6;6;0,94;106,78;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;636 - Pinocho IV.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;34;0;24;150;8;26;69;2,69;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;640 - Pinocho VIII.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;-66;-2;0;0;5;3;0,6;0;;25;23/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Jumbo;662 - Jumbo Paseo del Pilar;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1333;0;0;80;0;40;3;6;2;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;665 - SM Manzanares.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;200;0;0;12;0;210;105;6;0,06;106,78;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;668 - Rojas;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;416;0;0;25;0;862;206;6;0,03;0;;25;13/2/2023;13;XD;V;SI;71,03;0;9217
